epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.178,1.34386,3.13168,1.17255,0.00584,0.62444,0.2295,0.14831,1.25216,3.33848,0.99398,0.00028,0.00028,0.00028
2,254.154,1.37843,2.30006,1.14082,0.00534,0.57079,0.22156,0.1314,1.24813,3.35214,1.03644,0.000568516,0.000568516,0.000568516
